Country,AK,AL,AR,AZ,BOP,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,Military,NC,ND,NE,NH,NJ,NM,NN,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,US,UT,VA,VI,VT,WA,WI,WV,WY
2020/4/17,300,4402,1620,4241,744,28157,8675,15884,2350,2075,23338,16354,135,540,2141,1609,25728,9534,1616,2409,22511,32181,10784,795,29263,1910,5230,,3620,413,4695,5659,393,1072,1210,75799,1597,1023,3317,227597,8410,2356,1736,28313,1043,3838,3914,1311,6262,17263,686635,2687,6887,,768,11330,3875,738,295
2020/4/18,309,4467,1690,4511,761,29425,9047,16809,2476,2323,24750,17434,136,552,2332,1655,27576,10150,1740,2501,23113,34402,11572,827,30021,2068,5417,,3789,422,4849,6190,438,1138,1283,78793,1711,1023,3524,235366,9106,2464,1784,30029,1068,4177,4081,1411,6582,18076,718064,2807,7489,,779,11800,4051,775,305
2020/4/19,314,4722,1777,4723,784,30812,9440,17550,2666,2538,25492,17841,136,573,2510,1670,29161,10641,1853,2687,23579,36372,12313,847,30786,2211,5563,,3972,426,4849,6367,527,1287,1342,81846,1798,1095,3626,242550,10214,2569,1843,31791,1118,4491,4241,1542,6750,18917,746493,2932,8047,,803,11965,4198,826,309
2020/4/20,319,4900,1781,4932,804,31530,9730,17962,2793,2538,26314,18297,136,579,2902,1672,30357,11210,1939,2948,23927,38077,12831,867,31413,2352,5771,,4273,433,4849,6591,585,1472,1392,85898,1845,1150,3728,248401,11574,2599,1910,32990,1213,4706,4370,1635,7056,19400,772602,3069,8533,,813,12026,4346,891,313
2020/4/21,321,5077,1971,5068,816,33863,10111,19815,2927,2745,27057,19388,136,583,3157,1736,31507,11680,2063,3035,24520,39643,13684,875,31959,2468,5934,,4512,433,5335,6965,627,1647,1447,89188,1971,1255,3830,253295,12918,2681,1954,34004,1252,5090,4435,1685,7226,20082,801095,3213,8982,,816,12485,4538,907,426
2020/4/22,329,5321,2262,5256,863,35842,10455,20360,3098,2931,27867,20153,136,588,3637,1766,33052,12091,2207,3187,24851,41199,14193,888,32964,2566,6100,,4711,437,5335,7120,643,1720,1490,92587,2071,1255,3937,258559,13722,2805,2002,35336,1298,5500,4607,1755,7389,20971,827694,3296,9627,,818,12723,4624,932,440
2020/4/23,335,5610,2392,5473,908,37699,10886,22469,3206,3200,28582,21070,136,591,3747,1802,35109,12436,2417,3357,25253,42944,14775,907,33961,2721,6281,,4893,439,5848,7540,679,1811,1588,96359,2210,1304,4081,263714,14114,2893,2059,36204,1378,5841,4758,1858,7835,21770,857136,3445,10263,,821,12864,4845,960,446
2020/4/24,337,5825,2599,5771,956,39561,11270,23100,3361,3308,29641,21779,139,595,3922,1833,36934,13037,2721,3474,25735,46023,15735,937,35294,2942,6475,,5150,442,5901,7820,709,2200,1662,100405,2376,1360,4208,271130,14688,3015,2126,38379,1416,6256,4916,1956,8260,22645,891742,3612,10993,,825,13013,5050,977,451
2020/4/25,339,6026,2809,6043,966,41355,12255,23936,3528,3442,30533,22480,141,599,4443,1866,39654,13678,2959,3760,26139,50969,16616,965,36641,3185,6762,,5429,444,6213,8289,748,2424,1720,102666,2521,1540,4398,279282,15156,3119,2177,40208,1276,6699,5068,2040,8722,23577,928929,3781,11583,,827,13306,5354,1008,471
2020/4/26,339,6213,2909,6286,1047,42626,12968,24583,3699,3576,30838,23201,141,603,5092,1885,41774,14395,3135,3891,26511,53348,17766,990,37211,3446,6899,,5714,445,6213,8711,803,2712,1791,106151,2660,1540,4539,287455,15570,3192,2253,41602,1307,7129,5243,2147,9188,24092,960692,3948,12362,,842,13557,5686,1023,489
2020/4/27,341,6416,2999,6534,1118,43704,13439,25269,3841,4034,31531,23425,141,605,5461,1895,43896,15010,3276,4064,26773,54938,18580,1015,37778,3602,7094,,5906,448,6213,8988,867,3020,1864,109642,2725,1540,4639,293661,15949,3252,2311,42615,1371,7439,5485,2212,9663,24890,987732,4123,12966,,849,13770,5911,1049,498
2020/4/28,345,6535,3066,6725,1376,45200,13879,25997,3892,4162,32137,24206,141,606,5856,1917,45878,15960,3472,4146,27068,56462,19485,1023,38210,3811,7293,,6090,449,6213,9315,941,3357,1937,111984,2824,1540,4701,298407,16324,3279,2353,43646,1389,7707,5611,2244,9915,25233,1012363,4236,13534,,854,14200,6081,1076,518
2020/4/29,351,6741,3124,6955,1649,46446,14315,26312,3994,4575,32845,24936,141,608,6375,1952,48098,16579,3650,4366,27286,58302,20109,1039,39260,4180,7435,,6340,451,6213,9755,990,3517,2010,114635,2974,1540,4821,301454,16766,3408,2385,45135,1400,7926,5734,2312,10051,26292,1037592,4344,14338,,861,14387,6289,1093,534
