,state_name:,county:,5/16,5/17
1530,NY,Onondaga,1543,"""U2FsdGVkX19SHBsNTlLYngPnJ6HBV9g+QuO8bzmEsjM="""
1531,NY,Ontario,139,"""U2FsdGVkX18vRnVvcYXN1v8bD3JzMnjBNM0Eujt+9QE="""
1532,NY,Orange,10039,"""U2FsdGVkX1+B85H3LwNmFCK3N+sBaQAIHRc8o8Gps0s="""
1533,NY,Orleans,163,"""U2FsdGVkX1+PdPcGNUN3CnI69ZKP1vYqIlTW5ucVcLs="""
1534,NY,Oswego,83,"""U2FsdGVkX18Z1VAvxCR5cRFG7ENCh7w8fuoR+Ta+iyE="""
1535,NY,Otsego,67,"""U2FsdGVkX1+t2BeY+wneP9sBiEOEqnfeGugdqv2YzYc="""
1536,NY,Putnam,1320,"""U2FsdGVkX1+2ckm4C9xLaOQxoE1TkB2qmQzGBUp4IsM="""
1537,NY,Rensselaer,439,"""U2FsdGVkX191jqzDTkfgJXEDXqyqXM7YO3KdNU1kfD8="""
1538,NY,Rockland,12688,"""U2FsdGVkX1+w94Yw/pSg6ng4STH47g4AfQQ+PM0Rryw="""
1539,NY,Saratoga,423,"""U2FsdGVkX18o3pfYji1sE6Jh6EOy+XJii8cvtm9pjVs="""
1540,NY,Schenectady,613,"""U2FsdGVkX1+0UBNudHD0ERnpv7SblFp4R/Z5tUrfDtE="""
1541,NY,Schoharie,47,"""U2FsdGVkX1823MmI5ZhpgCVIqe8YP+86oDxIF9tdbxA="""
1542,NY,Schuyler,8,"""U2FsdGVkX1+1y/JoJiWB5EKHDERM2+SmS8fh8ZJQuvI="""
1543,NY,Seneca,49,"""U2FsdGVkX18aAi9xOGtnhBxNmagqGyBRpV27AqHiTtw="""
1544,NY,St. Lawrence,194,"""U2FsdGVkX19nnG22HrbfWmi/UCFrRz97oxd2Eu+eU7c="""
1545,NY,Steuben,245,"""U2FsdGVkX195IxqeCQQJcZaw8O7+Ys28Bs72t+gE9dA="""
1546,NY,Suffolk,37942,"""U2FsdGVkX1/k560CJilWW+SLYNh4LFWlQs5wSaehzdk="""
1547,NY,Sullivan,1217,"""U2FsdGVkX1/ACJweCLhg2M1roAiThniqw0YFTwHkCys="""
1548,NY,Tioga,117,"""U2FsdGVkX19GhgCR0XxxLnHEvlHIpk5D0wMY3RK7cww="""
1549,NY,Tompkins,134,"""U2FsdGVkX19T3WvtZzUMaMcHxXsxdJ8w8oZvF0WqXYU="""
1550,NY,Ulster,1563,"""U2FsdGVkX18uadBjyq8CF02tgSnmyyvtcyHUi1my/ME="""
1551,NY,Unassigned,0,"""U2FsdGVkX1/k4/7I7i5J6UddyCWrQFdn7BVURtB0/vI="""
1552,NY,Warren,228,"""U2FsdGVkX1/akNVbuB850dCT4LQVVPsO4v7eg+jaVUM="""
1553,NY,Washington,218,"""U2FsdGVkX18GBEyGxd+xeTb9+B/G0vJ4HYsHJJ/ftdM="""
1554,NY,Wayne,92,"""U2FsdGVkX1+5EIqWOdXyGoQp3p/IyxSTwgrcUXe7Jhg="""
1555,NY,Westchester,32097,"""U2FsdGVkX1+qBOhYLVACO1Ob1Piz6YBFwy2/Up4AzJI="""
1556,NY,Wyoming,78,"""U2FsdGVkX18FKYNamKH5uol20w/isrz0cY6gp+nOuxk="""
1557,OH,Allen,165,165
1558,OH,Ashland,15,15
1559,OH,Ashtabula,229,229
1560,OH,Athens,8,8
1561,OH,Auglaize,54,54
1562,OH,Belmont,318,318
1563,OH,Brown,22,22
1564,OH,Butler,578,578
1565,OH,Carroll,24,24
1566,OH,Champaign,23,23
1567,OH,Clark,138,138
1568,OH,Clermont,149,149
1569,OH,Clinton,39,39
1570,OH,Columbiana,415,415
1571,OH,Coshocton,20,20
